CarID,Make,Type,Color,VIN,IntoService,DailyRentalFee
1,Chevrolet,Sedan,Silver,WBAYE4C58DD399108,1/5/2018,47.69
2,Chevrolet,Compact SUV,Gold,WP1AE2A23EL281570,1/6/2018,50.39
3,Ford,Compact SUV,Blue,1N6BF0KXXFN894194,1/11/2018,50.39
4,Ford,SUV,Maroon,WAUDN74F48N425176,1/13/2018,59.39
5,Honda,Compact SUV,White,WVWAN7AN1DE112713,1/13/2018,50.39
6,Nissan,Full-size,Red,JH4CU2F66BC660813,1/16/2018,35.99
7,Honda,Compact SUV,Gray,JN8AZ2KR6AT112856,1/17/2018,50.39
8,Chevrolet,Sedan,Gray,WAUVT58E15A424828,1/21/2018,47.69
9,Toyota,SUV,Blue,WAUPFAFMXAA720167,1/23/2018,59.39
10,Honda,Compact,White,1N6AA0ED3FN500756,1/25/2018,22.49
11,Ford,Compact SUV,Maroon,JA32X8HW2CU559069,1/29/2018,50.39
12,Toyota,Full-size,White,1G4HP52K35U667182,2/1/2018,35.99
13,Honda,Compact,Silver,5FPYK1F50EB283778,2/7/2018,22.49
14,Chevrolet,Full-size,Red,1GKS1GEJ2DR299559,3/1/2018,35.99
15,Chevrolet,Compact,White,1C3CDZAB5DN625870,3/1/2018,22.49
16,Ford,Compact SUV,Red,WAUBFAFL4BA154123,3/6/2018,50.39
17,Chevrolet,Compact,Maroon,WAUHGBFC7DN308123,3/16/2018,22.49
18,Chevrolet,Full-size,Maroon,JHMGE8G38DC793632,3/30/2018,35.99
19,Ford,Compact,Gold,1N4AL3AP6EC435903,3/31/2018,22.49
20,Toyota,Compact,Black,1FTSW2A55AE933827,4/6/2018,22.49
21,Chevrolet,Full-size,Black,SCBLC47J08C017338,4/17/2018,35.99
22,Chevrolet,Full-size,Gold,1GD02ZCG3CF334205,4/17/2018,35.99
23,Chevrolet,Compact,Silver,2HNYD28398H640985,5/4/2018,22.49
24,Ford,Full-size,Gray,2G4WB55K431791956,5/7/2018,35.99
25,Chevrolet,Compact,Gray,3C3CFFJH6ET582123,5/10/2018,22.49
26,Chevrolet,SUV,Black,1FMJU1G59AE142571,5/11/2018,59.39
27,Chevrolet,Compact,Red,WAUHF68P46A064242,5/19/2018,22.49
28,Chevrolet,Compact,Blue,3N1CN7AP8FL424446,5/20/2018,22.49
29,Toyota,Full-size,Gray,3D73M4CL1BG582595,5/21/2018,35.99
30,BMW,Exotic,Maroon,JTHDL5EF3F5317557,5/30/2018,131.39
31,Honda,Full-size,Red,5GADX33LX6D137356,6/7/2018,35.99
32,Chevrolet,Compact,Gray,3D73M3CL3AG498366,6/11/2018,22.49
33,BMW,Exotic,Red,WVWAP7AN4DE704178,6/16/2018,131.39
34,Ford,Full-size,Silver,3D73M4CL7BG204734,6/21/2018,35.99
35,Chevrolet,SUV,Black,WA1WGAFP8DA390940,6/30/2018,59.39
36,BMW,Exotic,Gold,4A31K5DF1BE674767,6/30/2018,131.39
37,Honda,Full-size,Black,2C3CCAJG0EH206500,7/5/2018,35.99
38,Ford,Full-size,Red,WAUPEBFM8DA991175,7/8/2018,35.99
39,Chevrolet,Compact,Red,WAU4FAFL4CA042884,7/22/2018,22.49
40,Chevrolet,Compact,Red,NM0AE8F70F1324977,8/2/2018,22.49
41,Chevrolet,Full-size,Gray,3D7JB1EK9AG230475,8/11/2018,35.99
42,Honda,Full-size,Gray,3C4PDCGB8ET694040,8/14/2018,35.99
43,Chevrolet,SUV,Maroon,WBAVA33577P795218,8/16/2018,59.39
44,Ford,Compact SUV,Red,WBAYP9C5XFD001892,8/20/2018,50.39
45,Ford,Full-size,Red,JHMZF1D41CS129431,8/22/2018,35.99
46,Nissan,Compact,Gray,3N1AB7AP3FY232788,8/22/2018,22.49
47,Ford,Compact SUV,Black,WBAWB73528P156240,8/24/2018,50.39
48,Chevrolet,Compact,Gray,YV126MFJ8F1350486,8/24/2018,22.49
49,Toyota,Full-size,Blue,WAUKG58E45A693395,8/30/2018,35.99
50,Mercedes-Benz,Exotic,Blue,WAUHGAFC6FN205045,9/3/2018,131.39
51,Toyota,SUV,Gray,2C3CDYBTXEH926551,9/4/2018,59.39
52,Toyota,Full-size,Silver,WDDGF4HB7DR595852,9/6/2018,35.99
53,Chevrolet,Compact SUV,Red,1GYS4JKJ7FR174736,9/8/2018,50.39
54,Ford,Compact,Maroon,WBA1K5C59FV567058,9/9/2018,22.49
55,Chevrolet,Compact,White,1G4GA5GR3DF291024,9/10/2018,22.49
56,Toyota,Full-size,Gold,1YVHZ8BH4D5979745,9/15/2018,35.99
57,Honda,Compact SUV,White,3GYFK12259G690789,9/24/2018,50.39
58,Nissan,Compact,Gold,WBAWL73567P180553,9/29/2018,22.49
59,Chevrolet,Compact SUV,Red,SALAG2V64EA025566,10/6/2018,50.39
60,Chevrolet,Full-size,Maroon,WAUGGBFC1CN248429,10/11/2018,35.99
61,Honda,Compact SUV,Silver,JN8CS1MW7FM974284,10/13/2018,50.39
62,Ford,Compact,Black,1N6AA0CC8AN672865,10/17/2018,22.49
63,Honda,Compact SUV,White,1D7CE3GK0AS379939,10/20/2018,50.39
64,Ford,SUV,Black,JN1CV6AP1CM758135,10/21/2018,59.39
65,Chevrolet,SUV,Red,SCFAD01E49G369002,10/28/2018,59.39
66,Honda,Compact,Blue,WVGFF9BP0BD280159,11/1/2018,22.49
67,Toyota,Full-size,White,1HGCP2F35CA161787,11/6/2018,35.99
68,Chevrolet,Full-size,White,1G6DP8E30D0534008,11/9/2018,35.99
69,Honda,SUV,Black,SCBBB7ZH7EC955598,11/9/2018,59.39
70,Toyota,Compact,Black,4T1BD1FK7EU512927,12/9/2018,22.49
71,Ford,Compact,Black,JN1CV6EK8DM000356,12/10/2018,22.49
72,Honda,Compact SUV,Black,1D4PT4GK6AW425549,12/12/2018,50.39
73,Mercedes-Benz,Exotic,Yellow,1GD022CG6CZ160569,12/12/2018,131.39
74,Toyota,Full-size,Black,JN8AZ1MU3AW429813,12/26/2018,35.99
75,Ford,Compact,Red,1G4GC5GC4BF385609,12/28/2018,22.49
76,Honda,Compact,Silver,WBAFB33461L731792,1/1/2019,23.49
77,Mercedes-Benz,Exotic,Gray,1N6AA0ED7FN103132,1/4/2019,137.23
78,Chevrolet,Full-size,White,SCBET9ZA7FC521076,1/8/2019,37.59
79,Mercedes-Benz,Exotic,Gold,5XYKT3A10DG480310,1/11/2019,137.23
80,Toyota,Compact,Red,1FMCU0F73DU908648,1/12/2019,23.49
81,Ford,SUV,Silver,JN1AZ4EH1FM838834,1/13/2019,62.03
82,Ford,Full-size,Black,WBAUC73588V781063,1/16/2019,37.59
83,Nissan,Full-size,Black,3C3CFFJH7FT860223,1/27/2019,
84,Honda,Full-size,Black,WAUAF68E35A016097,1/30/2019,37.59
85,Chevrolet,Full-size,Silver,JN8AZ1MU8CW308648,2/2/2019,37.59
86,BMW,Exotic,Blue,5N1AN0NU8FN969327,2/3/2019,137.23
87,Ford,Full-size,Red,WBSBR93423P109162,2/3/2019,37.59
88,Chevrolet,Compact,Gray,SCFEBBBC0AG521202,2/10/2019,23.49
89,Honda,Compact,Gray,WAUKD98P69A484358,2/12/2019,23.49
90,Chevrolet,SUV,Maroon,1GYEE437180854718,2/13/2019,62.03
91,Chevrolet,Compact,Black,1FBNE3BL6CD970319,2/14/2019,
92,Chevrolet,Compact,White,JH4NA21615S788962,2/15/2019,23.49
93,Chevrolet,Full-size,Gold,KMHD35LH0FU074720,2/17/2019,37.59
94,Mercedes-Benz,Exotic,Gray,1D7RV1GT4AS089954,3/5/2019,137.23
95,Honda,Full-size,Gold,4T3BK3BB9FU698499,3/9/2019,37.59
96,Honda,Full-size,Maroon,WAULD64B32N770020,3/18/2019,37.59
97,Honda,Compact SUV,Red,3D7JV1EP5AG147869,3/22/2019,52.63
98,Chevrolet,SUV,Maroon,WDDPK4HA8EF624300,3/25/2019,62.03
99,Chevrolet,Compact,Silver,2G4GP5EX6E9901315,4/2/2019,23.49
100,Mercedes-Benz,Exotic,Black,WAUDF78E18A948242,4/8/2019,137.23
101,BMW,Exotic,Gray,3D73M4HLXBG421462,4/9/2019,137.23
102,Mercedes-Benz,Exotic,Silver,WAULT58E73A061309,4/21/2019,137.23
103,Toyota,Full-size,Gold,JN1CV6EK1FM622865,4/30/2019,37.59
104,Toyota,Full-size,Red,JTHBL5EF1F5560615,5/6/2019,37.59
105,Nissan,Compact,Gray,5FNYF3H24BB130070,5/21/2019,23.49
106,Mercedes-Benz,Exotic,Black,19UUA65674A634826,5/22/2019,137.23
107,Ford,Full-size,Red,WBA5A5C51FD831223,6/5/2019,37.59
108,Ford,SUV,White,2HNYB1H63CH242920,6/26/2019,62.03
109,Nissan,Compact SUV,Black,5TDBK3EHXDS225595,7/1/2019,52.63
110,Ford,Full-size,Black,WAUKH98E96A746260,7/3/2019,37.59
111,Chevrolet,Compact SUV,Gray,WAUEF78E27A714114,7/4/2019,52.63
112,Chevrolet,Compact,Blue,2C3CA4CG3BH346363,7/4/2019,23.49
113,BMW,Exotic,Red,WA1AY94LX8D406047,7/4/2019,137.23
114,BMW,Exotic,Red,JA4AS2AW6AZ554423,7/10/2019,137.23
115,Chevrolet,SUV,Blue,WAUJC68EX5A276599,7/11/2019,62.03
116,Honda,Compact,White,KNAFZ6A30F5520655,7/12/2019,23.49
117,Chevrolet,Full-size,White,WAUAFAFL8BN687113,7/20/2019,37.59
118,Ford,Full-size,Maroon,5GALRCED6AJ853452,7/20/2019,37.59
119,Chevrolet,Compact,Blue,WBAUP7C58AV930050,7/23/2019,23.49
120,Chevrolet,Full-size,White,WBAUP7C56AV650790,7/28/2019,37.59
121,Chevrolet,Full-size,Gray,SAJWA1CB0BL749586,8/9/2019,37.59
122,Ford,Compact,Gray,JHMZF1C67FS844091,8/19/2019,23.49
123,Ford,Compact,White,JH4CU2F83DC193774,8/28/2019,23.49
124,Toyota,Compact,Black,1G6DH8E56D0210396,8/29/2019,23.49
125,Ford,Full-size,Silver,WAUMGBFLXAA105194,9/4/2019,37.59
126,Honda,Compact SUV,Red,5N1AR2MM9EC988822,10/1/2019,52.63
127,Ford,Compact,Gold,5N1AR1NB1BC227186,10/4/2019,23.49
128,Honda,Compact SUV,Gray,WBAPM7C51AE467352,10/4/2019,52.63
129,Ford,Full-size,Blue,WAUBFAFL0BA829630,10/16/2019,37.59
130,Ford,Full-size,Silver,4T1BF3EK6AU333490,10/19/2019,37.59
131,Honda,Compact,Gold,WVGFG9BPXCD014887,10/31/2019,23.49
132,Honda,Compact SUV,White,3C4PDDDG1ET211316,11/5/2019,52.63
133,Honda,Compact SUV,Black,4A31K2DF3AE439638,11/8/2019,52.63
134,Ford,Full-size,White,1C3CDZAB6DN938586,11/14/2019,37.59
135,BMW,Exotic,Silver,WBAPM7C54AE775969,11/15/2019,137.23
136,Chevrolet,Compact SUV,Maroon,WAUKF78E38A903553,11/22/2019,52.63
137,Honda,Compact,Silver,WAUHGAFC0CN600589,11/27/2019,23.49
138,Chevrolet,Full-size,Black,WA1EY74L27D448698,12/2/2019,37.59
139,Chevrolet,SUV,White,WAU2GBFC3DN603001,12/6/2019,62.03
140,Chevrolet,Full-size,Black,WAUCVAFR7AA383339,12/8/2019,37.59
141,Honda,SUV,Gray,1GYS3TKJ9FR566020,12/16/2019,62.03
142,Honda,Full-size,Silver,4F2CY0C78AK998581,12/21/2019,37.59
144,Toyota,Full-size,Black,WAU3GAFR4DA941338,1/5/2020,38.39
145,Toyota,Compact,Yellow,KMHEC4A45EA988024,1/7/2020,23.99
146,Honda,SUV,Blue,SAJWA4DC5BM727070,1/9/2020,63.35
147,Ford,Full-size,Blue,1ZVBP8AM1D5004858,1/14/2020,
148,Mercedes-Benz,Exotic,White,KMHFH4JG2FA386795,1/16/2020,140.15
149,Toyota,Compact,Red,WBAPM7G55AN015088,1/22/2020,23.99
150,Chevrolet,Full-size,Gray,JN8AZ2KR2AT767564,1/23/2020,38.39
151,Honda,Compact,White,JTMHY7AJ9B5608245,1/26/2020,23.99
152,Chevrolet,Compact SUV,Red,1GYFC362X9R482099,1/29/2020,53.75
153,Ford,Compact SUV,Maroon,SCBZK25E13C106917,2/12/2020,53.75
154,Chevrolet,SUV,Black,SALVP1BG6FH408054,3/6/2020,63.35
155,Toyota,Compact SUV,Gray,WBAPM5G52BN321249,3/13/2020,53.75
156,BMW,Exotic,Red,WAUAF78E98A858971,3/18/2020,140.15
157,Chevrolet,Full-size,Black,WAUEL74F05N059089,3/27/2020,38.39
158,Chevrolet,Compact,Gray,WAUMGBFL9DA264261,3/31/2020,23.99
159,Chevrolet,Compact SUV,White,4T1BF3EKXBU517543,4/6/2020,53.75
160,Mercedes-Benz,Exotic,White,WAUEF78E17A453056,4/9/2020,140.15
161,Toyota,Full-size,Gold,JHMZE2H75ES047847,4/11/2020,38.39
162,Ford,Compact,Red,1G6YV36A575004843,4/12/2020,23.99
163,Chevrolet,Compact,Red,1G6DD67V880987424,4/20/2020,23.99
164,Nissan,Full-size,White,1G4GE5G33CF231422,4/21/2020,38.39
165,Nissan,Compact SUV,Black,SCFFBCBD5AG089967,4/22/2020,53.75
166,Chevrolet,Compact,Gray,5FRYD4H22GB196585,4/24/2020,23.99
167,Ford,Full-size,Silver,WAUDT74F35N697641,5/8/2020,38.39
168,Chevrolet,Compact SUV,Black,2HNYD28728H158104,5/8/2020,53.75
169,Chevrolet,Compact,Red,WDDGF4HB7DF745928,5/11/2020,23.99
170,Chevrolet,Full-size,Black,19UUA656X4A992695,5/11/2020,38.39
171,Honda,Full-size,Red,1N6AA0EC6EN465216,5/12/2020,38.39
172,Nissan,Full-size,Blue,5YMGY0C52AL666881,5/16/2020,38.39
173,Toyota,Full-size,Silver,2G4GT5GC6B9653472,5/22/2020,38.39
174,Ford,Compact SUV,Red,2T1KU4EE0BC628383,5/25/2020,53.75
175,Toyota,Compact SUV,Gray,5NPDH4AE6DH225673,5/29/2020,53.75
176,Toyota,Full-size,Blue,JH4DC538X4S282048,5/30/2020,38.39
177,BMW,Exotic,Black,WBAPL5G59BN795699,6/1/2020,140.15
178,BMW,Exotic,White,WP0CB2A89CS916482,6/6/2020,140.15
179,Chevrolet,Compact,Gray,1VWAH7A31EC614301,6/8/2020,23.99
180,Honda,SUV,Blue,VNKKTUD3XFA178357,6/22/2020,63.35
181,Ford,Full-size,Red,4USBT33423L371013,6/22/2020,38.39
182,Chevrolet,Full-size,Black,1NXBU4EEXAZ826756,6/23/2020,38.39
183,Mercedes-Benz,Exotic,Black,SALVN2BG1EH111137,6/23/2020,140.15
184,Nissan,Full-size,Gold,1C6RD6FK0CS392307,6/29/2020,38.39
185,Chevrolet,Full-size,White,5GADV33L16D241823,7/2/2020,38.39
186,Chevrolet,Compact SUV,Gray,2FMDK3AK6CB184580,7/2/2020,53.75
187,Nissan,SUV,Red,WP0AA2A89CU955054,7/6/2020,63.35
188,Ford,Compact,Blue,3D4PG6FV9AT365557,7/9/2020,23.99
189,BMW,Exotic,Red,JN8AZ1MU8CW592430,7/11/2020,140.15
190,Chevrolet,Full-size,Gray,1GTC5MF91B8524760,7/21/2020,38.39
191,Chevrolet,Compact,Red,1D7RE3BK8AS973762,8/5/2020,23.99
192,Honda,Compact SUV,Red,1HGCP2E39AA855851,8/12/2020,53.75
193,Chevrolet,Full-size,Black,WAUFGBFB4BN725839,9/7/2020,38.39
194,Mercedes-Benz,Exotic,Black,4USBT535X4L331512,9/13/2020,140.15
195,Ford,Compact,Gray,1GYS4HEFXER525945,9/15/2020,23.99
196,Chevrolet,Compact SUV,White,1GKUKFDJ8AR881386,9/15/2020,53.75
197,Chevrolet,Full-size,White,1ZVBP8AN0A5341509,9/15/2020,38.39
198,Chevrolet,Compact SUV,Maroon,WA1DGAFE2FD696670,9/23/2020,53.75
199,Nissan,SUV,Gold,5BZBF0AA8EN807813,9/24/2020,63.35
200,Chevrolet,Compact SUV,Black,JTDKTUD37ED948195,9/26/2020,53.75
201,Chevrolet,Full-size,Black,WBAKF9C58BE853316,9/27/2020,
202,Chevrolet,Compact,Red,ML32A3HJ3EH819651,9/28/2020,23.99
203,Ford,SUV,Red,JTHFE2C26B2832341,9/30/2020,63.35
204,Chevrolet,Compact,Black,4T1BB3EK8BU189129,10/1/2020,23.99
205,Ford,Compact,Red,3GYT4LEF6CG556095,10/16/2020,
206,Chevrolet,Compact SUV,Maroon,JHMZF1C49BS566724,10/18/2020,53.75
207,Toyota,Compact,Silver,WAUVC58E42A369545,10/18/2020,
208,Honda,Compact,Gray,3N1AB6AP8AL090468,10/24/2020,23.99
209,Ford,Compact,Maroon,1G4HP54K514818823,10/28/2020,23.99
210,BMW,Exotic,Gray,WA1AY94L57D716427,11/5/2020,140.15
211,Chevrolet,Full-size,White,1N6AF0LX9EN641361,11/18/2020,38.39
212,Chevrolet,Full-size,Yellow,WBA4A7C54FD634151,11/20/2020,38.39
213,Nissan,Compact,Maroon,1C3CCBAB8CN436915,11/26/2020,23.99
214,Ford,Full-size,Black,137ZA84321E517556,11/26/2020,38.39
215,Nissan,SUV,Maroon,19UUA96289A996703,11/29/2020,63.35
216,Chevrolet,Full-size,Gray,1C6RD7GP8CS958049,11/30/2020,38.39
217,Chevrolet,Compact SUV,Silver,3C4PDCAB1ET237479,11/30/2020,53.75
218,Chevrolet,SUV,Red,JN8AE2KP5E9498327,12/8/2020,63.35
219,Toyota,Full-size,Gray,3FADP4AJ3FM225357,12/17/2020,38.39
220,Honda,Full-size,Blue,3C4PDDDG6FT334627,12/18/2020,
221,Toyota,Compact SUV,Maroon,WAUCH74F39N415498,1/2/2021,
222,Honda,Full-size,Maroon,JTHBP5C23E5761290,1/8/2021,
223,Nissan,Compact SUV,White,1G4GF5G35DF739261,1/23/2021,
224,Chevrolet,Compact SUV,Gray,KMHEC4A46BA516863,1/24/2021,
225,Nissan,Full-size,White,WAUKD98P66A838052,1/26/2021,
226,Chevrolet,Full-size,Gray,3GYFNEE36FS144790,2/5/2021,
227,Chevrolet,Full-size,Black,KNAGM4AD5D5180299,2/11/2021,
228,Toyota,Full-size,Blue,1C4SDJCT4FC681392,2/13/2021,
229,Honda,Full-size,White,W04GY5GV3B1345004,2/16/2021,
230,Ford,Full-size,Blue,1N6BF0KX1FN796705,2/18/2021,
231,Honda,Full-size,Blue,WA1MKBFP8AA641494,2/18/2021,
232,Toyota,Full-size,White,19UYA41603A263339,2/20/2021,
233,Ford,Compact SUV,Red,5N1BA0NE7FN209706,2/27/2021,
234,Chevrolet,Compact SUV,Gold,KNAFX6A81E5311053,3/6/2021,
235,Toyota,Full-size,Gold,3C63DPBL0CG362144,3/10/2021,
236,Chevrolet,Compact,Red,3VW4S7AT9EM875897,3/16/2021,
237,Chevrolet,Compact SUV,Red,1G4HP57M99U149772,3/18/2021,
238,Honda,Full-size,Black,3C4PDDAG4ET993048,3/19/2021,
239,Chevrolet,Compact,Gold,WBAEN33463E237703,3/21/2021,
240,Chevrolet,Full-size,Gray,5GAER13728J751571,3/26/2021,
241,Chevrolet,Compact SUV,Red,3LNDL2L36CR743692,4/2/2021,
242,Chevrolet,Full-size,White,WBAPH5C54AA677881,4/8/2021,
243,Chevrolet,Compact,White,KNAFU5A29C5686569,4/23/2021,
244,Chevrolet,Full-size,White,1C3BC4EB7AN152822,4/27/2021,
245,BMW,Exotic,Black,2C3CDXGJ4FH391798,4/28/2021,
246,Honda,Compact,Maroon,JN8AZ2KR3AT716221,5/4/2021,
247,Chevrolet,Compact SUV,White,SALAC2D45CA059234,5/13/2021,
248,Honda,Compact,Gold,5NPDH4AE1CH326084,5/19/2021,
249,Chevrolet,Full-size,Red,1N6AF0LX5EN585046,5/19/2021,
250,Chevrolet,Compact,White,1FTMF1E84AK311132,5/20/2021,
251,Chevrolet,Full-size,Gray,5TFCM5F1XAX348279,5/21/2021,
252,BMW,Exotic,White,WBAFR1C53BC828314,5/24/2021,
253,Chevrolet,Compact,Red,WBA3X9C52FD871744,5/25/2021,
254,Chevrolet,Full-size,Black,WBAVD13506K290371,5/30/2021,
255,Chevrolet,Full-size,White,1G6DM57N140565242,6/2/2021,
256,Ford,Compact SUV,White,4T1BD1FK7CU634846,6/10/2021,
257,BMW,Exotic,Blue,3GTU1YEJ3BG603067,6/12/2021,
258,Ford,Full-size,Black,1FMJK1G54EE051770,6/14/2021,
259,Chevrolet,Full-size,Maroon,1FBNE3BL7BD491471,6/23/2021,
260,Honda,Compact,Red,JHMZF1C47BS084009,6/29/2021,
261,Chevrolet,Compact,White,1G6AR5S37F0364250,6/30/2021,
262,Chevrolet,Compact SUV,White,JH4DC54894S525119,7/1/2021,
263,BMW,Exotic,Gray,WAUFFAFL7FA142586,7/4/2021,
264,Mercedes-Benz,Exotic,White,3C4PDCDG7FT757890,7/10/2021,
265,Nissan,Compact,Gray,19UUA75577A277990,7/11/2021,
266,Chevrolet,Full-size,Red,KNAGM4AD6C5880489,7/16/2021,
267,Chevrolet,Compact,Gray,3VW4A7AT4CM714812,7/18/2021,
268,Nissan,Compact,Black,2C3CCAFJ5DH964450,7/27/2021,
269,BMW,Exotic,Red,4F2CY0C7XAK694572,7/30/2021,
270,Chevrolet,Compact SUV,Red,WAUDH98E26A444270,7/31/2021,
271,Chevrolet,Compact,White,JTDKDTB31E1689392,8/6/2021,
272,Ford,SUV,Yellow,SCFEFBBC3AG100286,8/8/2021,
273,Nissan,Full-size,Maroon,2G4WS52J741876156,8/17/2021,
274,Chevrolet,Full-size,Gray,4T1BF1FK0EU971114,8/24/2021,
275,Chevrolet,Compact SUV,Silver,1GYFC26269R685579,8/25/2021,
276,Honda,Full-size,Black,1G4HP52K744876648,8/31/2021,
277,Honda,Compact,Gold,1GKUCKE06AR866848,9/5/2021,
278,Toyota,Full-size,Red,SALWG2WF8EA790395,9/13/2021,
279,Ford,Compact SUV,White,1G6DF8E51C0951463,9/20/2021,
280,Mercedes-Benz,Exotic,Gray,SALGR2WF5EA991430,9/20/2021,
281,Nissan,Compact,White,JM1DE1KY4D0841109,10/2/2021,
282,Ford,Compact SUV,Maroon,5UXZV4C50D0023712,10/11/2021,
283,Chevrolet,Compact SUV,White,WBXPC93587W767977,10/12/2021,
284,Ford,Compact SUV,Gold,WAU2GBFC9EN063929,10/15/2021,
285,Toyota,Compact,Gray,JTDKN3DP8C3547829,10/19/2021,
286,Mercedes-Benz,Exotic,Blue,WDDHF2EB4DA634618,11/12/2021,
287,BMW,Exotic,Blue,5YMGY0C56BL079469,11/16/2021,
288,Mercedes-Benz,Exotic,Silver,WDDGF4HBXEG819810,11/22/2021,
289,Chevrolet,Full-size,White,WBA3A5C56DJ291907,11/27/2021,
290,Chevrolet,Full-size,White,JM1NC2NF0E0223569,12/4/2021,
291,Chevrolet,Full-size,Maroon,5GAKVCED8BJ657196,12/10/2021,
292,Chevrolet,Compact,Red,1FTKR1AD1BP871471,12/11/2021,
293,Honda,Compact SUV,Black,1N4AA5AP6CC659106,12/11/2021,
294,Honda,Full-size,Red,5UXFE43577L710725,12/14/2021,
295,Chevrolet,Full-size,Black,1GYEE637090933360,12/16/2021,
296,Mercedes-Benz,Exotic,Maroon,5TDDCRFH5ES653356,12/20/2021,
297,Ford,SUV,Gray,JN1AZ4EH1AM887363,12/21/2021,
298,BMW,Exotic,Black,1G6AA5RA3F0714744,12/24/2021,
299,Honda,Compact,White,3GYFNEE38CS489153,12/29/2021,
300,Ford,Compact,Red,1FTEX1CW3AK542669,12/31/2021,
